Product Name,Supplier Location,Quantity,Blockchain Transaction ID,Transportation Mode,Production Date,Transaction Date,Delivery Date,Soil Quality,Crop Health,pesticides used or not for growing crop,Total Supply Chain Days took to Deliver Product,Quality Assessment
Rice,Howrah,4706,0x42e36d7456f447f59632fcbf2ebf9ea17b5adbb05e9e59bc5c69be02308c63d1,Air,2020-07-02,2020-08-17,2020-10-13,Medium,Healthy,used,103,Medium
Corn,Jaipur,3105,0xd9bd421c88d73bfdd9b4f80246acc52a005f34d5c4f3585d1b8f0ffa69ce9161,Ship,2023-01-03,2023-02-26,2023-04-04,High,Infected,not_used,91,Medium
Soybeans,Allahabad,2870,0x86d964e9ef608fd29d682597c183055d823b9af3afcd4ffc71ae18591d4340eb,Air,2021-03-02,2021-03-26,2021-04-15,Low,Healthy,used,44,High
Tomatoes,Jodhpur,650,0xc8fed9998b507c0d37ad443df45077d03190968488a8c752394dc583e10f4ebe,Ship,2020-04-04,2020-06-05,2020-08-09,High,Stunted,not_used,127,Low
Soybeans,Kalyan-Dombivali,8210,0xf085648e1a084de0d51a7c500bc9b5c7b100cb162f0ca664c654030653617a95,Ship,2022-12-02,2023-02-04,2023-04-20,Low,Stunted,not_used,139,Low
Rice,Lucknow,457,0x545181b6aa53f98f93e53f7425fd116a6f0158b867ba674589411e0721f783e2,Truck,2020-12-02,2021-02-08,2021-04-14,High,Infected,used,133,Low
Rice,Meerut,3793,0xf1ac2adf376794b88ed311829ffdecfbd9472d295164da4a8d076c20dc62e369,Ship,2022-04-03,2022-04-28,2022-05-11,Medium,Healthy,used,38,High
Corn,Bangalore,2793,0xaa2c514913a0d5918894a2c8a046624a2e363ae9c502f792b0e8c6e543d2644b,Truck,2023-05-05,2023-07-25,2023-09-30,Low,Stunted,not_used,148,Low
Tomatoes,Chandigarh,6876,0xa6da92d48e0cc4cecbe272961e65c8aba9fcbf2ee9d7a8cf21b87735aa0d7dd3,Air,2023-02-04,2023-03-06,2023-04-03,Medium,Infected,not_used,58,High
Soybeans,Kanpur,7825,0xa0d52512092bb90f89c37ec871bc93390111498c4a476c60b23967faf6062366,Truck,2021-07-03,2021-07-16,2021-08-07,Low,Stunted,not_used,35,High
Potatoes,Varanasi,8843,0x5d77d57fbb553e0458eebf335d98be3406e1e1a366276aba25d4751798902c66,Truck,2022-10-02,2022-11-08,2022-12-15,Low,Healthy,not_used,74,Medium
Potatoes,Jodhpur,7318,0x3fa89726fbe082763ad3f7e2d953ce628bfd365591fbebadeb17a71dc8fbf6f9,Air,2022-07-06,2022-07-18,2022-07-30,High,Infected,used,24,High
Lettuce,Agra,4803,0xb0496c4e75583d46e89ae9d74aeded1c44421228c3d70894dc74ac93339debdd,Truck,2021-09-01,2021-11-10,2022-02-07,High,Stunted,not_used,159,Low
Tomatoes,Visakhapatnam,8010,0xe917059e5c3c1e97da0d881dcca03fe1e5ac4f9394d00ecc5f844a1584f22d42,Truck,2022-06-03,2022-06-24,2022-07-09,Medium,Healthy,used,36,High
Potatoes,Srinagar,9761,0xaf6f6ea1683b7d04ca396b2894c6d6bc1732ad8df34bf694f1ec9381b6b9d67c,Ship,2022-12-04,2022-12-30,2023-01-28,Low,Stunted,not_used,55,High
Wheat,Faridabad,3264,0xa10596a43aa8f5bfd122674fa1c61c29c1c81693983b302092da1758619e672c,Ship,2020-01-02,2020-01-28,2020-02-22,Low,Infected,used,51,High
Corn,Bangalore,1818,0x2e35bc361e807a6b79466246f1505a3f3ca133f5f74ece9ad7702a7c824deec2,Ship,2022-06-03,2022-08-11,2022-10-11,Medium,Infected,not_used,130,Low
Potatoes,Coimbatore,1604,0x10461949900a7295465e236ae886b7c169592115d406f4a1396ccd6f4f6271cf,Air,2021-11-05,2021-11-28,2021-12-15,High,Infected,not_used,40,High
Wheat,Chennai,7441,0x693389dd923e48dd5832fc2f0bf530f5f0a9fd1ba4757ca7e9f9cfbda1a427a5,Air,2023-02-07,2023-03-04,2023-03-25,Medium,Stunted,used,46,High
Tomatoes,Visakhapatnam,2791,0x736dc88c9de02cddc7cccc9b59c04863d2abfeb78245ef882f0231f84ddf382b,Air,2023-06-02,2023-08-29,2023-11-19,Low,Infected,not_used,170,Low
Soybeans,Vasai-Virar,8061,0x5e50b3108a5544d221b8feb051d9f7a80e2fbe2ad83102f5f75940810c14dd1e,Air,2023-08-05,2023-09-25,2023-11-09,Low,Infected,not_used,96,Medium
Tomatoes,Jodhpur,678,0x615aad3443c28f70b655265ff6d89119e666aaae95f24432be29085307d6393c,Air,2020-08-03,2020-09-25,2020-11-03,Low,Healthy,used,92,Medium
Potatoes,Chandigarh,8586,0x8e3c4e338079d9051d81594ed524b1ad070c1c13973d91731a99457df2e92b9c,Ship,2023-06-04,2023-08-25,2023-11-16,Medium,Healthy,used,165,Low
Lettuce,Varanasi,4914,0xcd301a3f3b497e42c0d0f755fcbd4c1fe006c31e6acdbfad771de7d45636dadf,Truck,2023-11-06,2023-11-22,2023-12-20,Low,Infected,not_used,44,High
Lettuce,Jaipur,2406,0x42c888129efc23e62ed3680e7d7d2d7eb9a8117e3b5089004728179b15f3ec99,Air,2021-03-04,2021-05-09,2021-07-23,Medium,Stunted,used,141,Low
Wheat,Vijayawada,6101,0x22cced656ce41594823bd4e0b15d2d738dcf444a6660c12b703471ded3e77199,Ship,2022-03-02,2022-04-28,2022-06-26,Medium,Stunted,not_used,116,Medium
Rice,Delhi,291,0x795189797f7072e248dc7e724eb2587b5099ea1574b401164f3a976c57d70228,Air,2020-07-07,2020-09-05,2020-10-20,Low,Stunted,not_used,105,Medium
Rice,Delhi,9611,0xefd057e3501a48d6ec65004ae9c39b8a985f1b88d9b9cb21b13b72acb88314e2,Truck,2023-06-02,2023-08-30,2023-11-18,High,Healthy,not_used,169,Low
Rice,Kota,2495,0x509fed813afb2386d7f62ccd04c617d7a9c7d48579bb7398fb4858e1e482e2f9,Truck,2022-03-05,2022-04-26,2022-06-05,Medium,Infected,not_used,92,Medium
Soybeans,Ranchi,2843,0xedf62eb1f5cb49f101cfa09bff60dffe3c8dd5d4e2b7ce438bf2ce15a0a61aa7,Truck,2023-10-05,2023-11-27,2024-01-04,Low,Stunted,not_used,91,Medium
Potatoes,Ludhiana,9214,0x0dd9c692f2faf3d287dee00bc963f4e2b26d59a24052f09df7f8f635bc31b3eb,Truck,2020-07-07,2020-08-04,2020-09-01,Medium,Stunted,used,56,High
Lettuce,Nashik,4235,0x309bc74276b5896f9325868c6c672e9c14a1b8bff14ea2b703d809fe06724b3b,Air,2022-10-05,2022-12-16,2023-02-15,Low,Infected,not_used,133,Low
Wheat,Patna,1321,0x1079d9140db82097db006215fdac81462fc79f8d24bb607a6365997b090757ac,Ship,2020-05-07,2020-06-03,2020-06-25,High,Stunted,used,49,High
Wheat,Kolkata,8216,0xc4400da6430e066edd22295f15f2bece524ebaf80d8cf4d55fd7be4c8c3d461e,Air,2021-02-01,2021-04-17,2021-07-05,High,Stunted,not_used,154,Low
Soybeans,Chandigarh,8616,0x2cd29e1dd5407c495c8490d568896d620cb3b66581d257b61830eab21814ef08,Air,2021-09-03,2021-11-12,2022-02-04,Medium,Infected,not_used,154,Low
Soybeans,Amritsar,5028,0xefa814abb1791bf5d8b7b711b74d2948ca60b8af16cdbafd9cca7d39d8545b05,Air,2020-06-06,2020-08-22,2020-11-05,Low,Healthy,not_used,152,Low
Wheat,Ranchi,1327,0x98750e2305d6e6415bc88f49316da7f627f0a2fccc742b761d35077b5578288f,Air,2021-12-01,2022-02-18,2022-05-02,Medium,Healthy,not_used,152,Low
Rice,Indore,1452,0x6d989dad13d9f3d500c9872366731e6578828bc300bc505cc7966cf32f84f198,Air,2020-04-01,2020-06-24,2020-09-13,Medium,Healthy,used,165,Low
Rice,Howrah,4089,0xc7ccedde315b2d989fdedcbcac1ae0ed7734a07c176c5b643de47e02c1f137f8,Truck,2021-12-07,2021-12-26,2022-01-12,High,Stunted,not_used,36,High
Potatoes,Dhanbad,7637,0x0f8bd8f2e94ac68a84a6ed5ab83cb432d366e1b47a9a0f59b221bfa1d7af13b1,Air,2023-02-05,2023-02-27,2023-03-22,High,Healthy,used,45,High
Corn,Delhi,883,0xc7889264c43839794a595902fcf1e541ccc42423ea8374b5b0bee40f2dfad8ad,Truck,2022-04-01,2022-05-24,2022-07-11,Medium,Stunted,used,101,Medium
Rice,Rajkot,4006,0x942de3d02b6b0baaa9634f20d52a6d01d2db978c5b15c6ce102814042456a1d4,Air,2022-12-02,2022-12-21,2023-01-18,Medium,Healthy,not_used,47,High
Lettuce,Faridabad,3456,0x6d7e18d4e1ee05a6d4e9c4d6b001ed4e08d0e083574bfb5acdc74d9d1f9556c7,Ship,2023-12-06,2024-01-07,2024-02-09,Low,Healthy,not_used,65,Medium
Potatoes,Kanpur,2313,0xf2d6c137476b596e1e9a296342bc282d9df431642091bbd8a82f512da031c825,Ship,2021-11-05,2021-12-11,2022-01-28,Low,Healthy,used,84,Medium
Wheat,Meerut,481,0x5762c92a37121e3559ee2b1e1568ecd95c91ca01503caf565bc777fe7148a145,Truck,2022-01-02,2022-01-23,2022-02-10,High,Infected,not_used,39,High
Lettuce,Kolkata,9350,0x6e686b8b94025a6dee7242559fbe9b7fc540802e0ac2b4e21ab457adefd36a3f,Ship,2020-11-05,2021-01-27,2021-03-29,Low,Stunted,used,144,Low
Tomatoes,Navi Mumbai,3970,0x88e5a7dbeec254c9d3831c150430da71c97aaaa57873383034f46d9075e58f55,Truck,2022-07-02,2022-08-22,2022-10-13,Medium,Stunted,not_used,103,Medium
Corn,Ahmedabad,7199,0xe5d756603004509145d8201c037dced7d3be6408d8e6fc95aba5396405e6a7c6,Truck,2022-11-06,2023-02-03,2023-04-09,Low,Stunted,used,154,Low
Corn,Ahmedabad,1865,0x52c4b2a0c572dd9a53a6752dfe522e69bbaa5fcaf3347661c679964bbb306611,Ship,2022-09-05,2022-09-27,2022-10-12,High,Stunted,used,37,High
Potatoes,Kanpur,8736,0xd8b5a9874ed2fd634d07b7775d27cbb67f140b9f84299c15ab753c2bdf1115db,Truck,2023-08-06,2023-10-27,2024-01-20,Low,Healthy,used,167,Low
Lettuce,Nashik,9276,0x2caa9274d7b8e64ee34fbb1ebbdcfc69f2c8d1a0889f6a14b848472c5b1b8915,Air,2023-05-01,2023-07-08,2023-09-13,Low,Healthy,used,135,Low
Rice,Hyderabad,5144,0x732b4f15ed0dbff429ddd786a64bab81c5bcff4b02dc5e32f088fe513b8b15d7,Ship,2020-07-07,2020-07-24,2020-08-05,Medium,Healthy,used,29,High
Rice,Nashik,6842,0xb55390f59b289aa682412c7f5f7aa24a90325793c2e2407a3a8a69f1679dd489,Air,2021-03-03,2021-03-25,2021-04-15,Low,Infected,not_used,43,High
Rice,Meerut,6489,0x3131c833655bf596fedd78700bc616e1ac86285e8852a87013e48291f3737e4b,Ship,2021-06-01,2021-08-18,2021-11-03,Low,Stunted,not_used,155,Low
Rice,Raipur,7408,0x60bc2f02a352cbfc955876e964d2c9cb6e59029eceae064cb832616aa28ae758,Truck,2022-03-02,2022-04-08,2022-05-20,Medium,Healthy,used,79,Medium
Corn,Kalyan-Dombivali,6331,0x1e334d5cbae815555352d07a24521819f33edf030c297683a6dadd613fcfb10f,Air,2022-02-01,2022-02-19,2022-03-17,Low,Stunted,used,44,High
Wheat,Pune,5536,0xaf9430438e26c5e387b0bfe913017a7d835e1857a21c8c4b05eb5c219f4972ae,Ship,2023-10-03,2023-10-23,2023-11-08,High,Infected,used,36,High
Lettuce,Coimbatore,2984,0x0cdae5949b61381350c034a6ade9a8e63d77ed7968ed207911c1177d5e2f2044,Ship,2020-06-06,2020-08-20,2020-11-10,Low,Healthy,not_used,157,Low
Soybeans,Vijayawada,4698,0x0185def34211e66ef2ea2abe4d52f786322d5a5513699337532d9a3a241cdcd2,Truck,2022-04-07,2022-05-15,2022-06-24,High,Healthy,not_used,78,Medium
Tomatoes,Rajkot,2215,0xfdc003fe49ddca6a7d99792b7e83b65780dff4263574fc835bce80e6f339ab83,Ship,2022-12-01,2023-02-18,2023-05-13,Medium,Stunted,used,163,Low
Rice,Rajkot,9477,0xa43d42871183c85bcf8d4f72efc10623cc3686d653a684dbd20ea55631831568,Air,2022-05-05,2022-06-23,2022-08-17,High,Infected,not_used,104,Medium
Soybeans,Pune,4355,0x340412ecaf71ede538a5c21e1f156b34de1c7bbcbc6d6c08f67f414ba53b7e32,Ship,2023-08-06,2023-08-31,2023-09-24,High,Infected,used,49,High
Wheat,Vadodara,7494,0x1000b13cca25d13c32a82ed464a8464d79e36fcc56ae2c43bc454951a3ec89a0,Air,2023-11-07,2024-01-29,2024-04-15,High,Stunted,used,160,Low
Soybeans,Jaipur,9737,0x8b24cca5f9f209910ee7b52ed7b521fa1b8a2a9d492b644b7c694e411b397c00,Ship,2021-09-02,2021-11-10,2022-01-20,Low,Healthy,not_used,140,Low
Soybeans,Amritsar,5362,0x977147df2588d03d6de4b6166928ce36247906991c54c99aa4f32c2d182b5423,Ship,2021-03-07,2021-03-24,2021-04-18,Medium,Stunted,used,42,High
Lettuce,Guwahati,9137,0xcd7dc60e1706dec61e870fc2ac561ccf9490708545df501d401a2a377d84ed4c,Truck,2021-02-03,2021-03-14,2021-05-04,Low,Infected,not_used,90,Medium
Lettuce,Amritsar,449,0xf9f0a50aa726e05e6d913d609bc726f97d26c38c52d2978c56bb4a47aa141bbe,Air,2020-08-03,2020-08-31,2020-09-13,Low,Healthy,not_used,41,High
Tomatoes,Gwalior,679,0xcb30adf6382e2eb2ce809b2c9332972efb21103414070ebcfa2b38d2ea112db7,Air,2023-10-01,2023-10-30,2023-11-28,Low,Stunted,not_used,58,High
Tomatoes,Meerut,5705,0x3e115ec75d5f0d97089a6b7ea24a48ecc3f0ec0992f5dcefe6ecc21c8ee929ba,Ship,2020-04-03,2020-06-26,2020-08-30,High,Infected,not_used,149,Low
Rice,Bhopal,9005,0x4605c8ea13fc7cf7e614d5edb325adf47bdce2e22fe4e4edadab14c5bd81334d,Truck,2023-09-01,2023-10-16,2023-11-21,Medium,Infected,not_used,81,Medium
Tomatoes,Patna,495,0x857b2b0d239bd5ca48840bfb5e00732492247bae3b72dcef1205c8e8330e53ed,Ship,2022-08-07,2022-09-12,2022-11-06,Low,Stunted,not_used,91,Medium
Rice,Navi Mumbai,8892,0x7b341233c1f17e19480d6ec6f79da73aafe0322309bd0205ce431f63d33a083e,Air,2020-11-04,2020-12-01,2020-12-21,Medium,Healthy,used,47,High
Rice,Lucknow,192,0x80b79cec03571af491309800c78264db7ffab5bc89779fcfedc589b08c2d2019,Ship,2022-06-05,2022-08-29,2022-11-12,Medium,Stunted,not_used,160,Low
Wheat,Madurai,4503,0xf08283c35bc313b8dfd91f7d168bca700b9dcd44307dbd5f6a05de9a1b88655b,Air,2023-06-01,2023-08-09,2023-11-07,High,Stunted,not_used,159,Low
Rice,Kota,8592,0x928c2f01986e1b879ea4d1f7d9760238abe3b5762503863573f685a03f060025,Ship,2021-10-04,2021-11-08,2021-12-24,Low,Infected,used,81,Medium
Wheat,Guwahati,5190,0x83bae62f12d0e96c829797c86bfcc30893f7c999d8c4d908137b1529a2b2a136,Truck,2020-03-05,2020-05-28,2020-08-01,Medium,Healthy,used,149,Low
Lettuce,Ranchi,1388,0x462c16c5e878f414c2bfa220abb16d3698182ebb31f05c57d2478d49b438a9d6,Air,2023-08-07,2023-10-17,2023-12-17,Low,Healthy,not_used,132,Low
Tomatoes,Kalyan-Dombivali,1256,0x64a922fb051ffc6422181ee39c04642bc077bebec777f09c260b89e926b484b7,Air,2023-02-07,2023-04-21,2023-07-19,Low,Stunted,used,162,Low
Tomatoes,Bhopal,7817,0xfb89c4c707b16b0193303f45547fa4d45ffd1f4bd3cbb489cd073c72cc510f06,Air,2021-10-07,2021-11-06,2021-11-28,Low,Infected,used,52,High
Potatoes,Amritsar,3749,0x851defa5ce1973eba8f2e65d203c4a4db5d28787af22618d1ec53252836b0283,Ship,2022-06-06,2022-08-15,2022-10-15,Medium,Healthy,not_used,131,Low
Lettuce,Vijayawada,1242,0xba57f4dd3a130393ffc7b9285a8a09b19919abafe60b080ae64de402605e2fa5,Truck,2020-07-06,2020-09-25,2020-12-20,High,Healthy,not_used,167,Low
Potatoes,Vasai-Virar,272,0x616f85951cca2d3a5bad687d5edf07477b0ebff3747e4258acfa9e85c2533b6e,Truck,2020-06-07,2020-07-18,2020-09-04,Medium,Stunted,used,89,Medium
Potatoes,Agra,5692,0xd0666ee833fe0a42bdaa4246c9cca73fe5be808729b8fa1b2c6a945ff93a2de0,Truck,2023-02-07,2023-02-25,2023-03-07,High,Healthy,not_used,28,High
Rice,Ludhiana,1244,0xdf67cd33c1f0092b85cd5e79474e44261f6d53db6e79aa760d0b4066a598f503,Ship,2022-01-04,2022-01-26,2022-02-13,High,Infected,used,40,High
Potatoes,Kanpur,6573,0x6a958a5395e2139886fecfa7d7028e514550c0c29ee6cae74f2631456aad3411,Ship,2023-05-05,2023-08-02,2023-10-04,Medium,Infected,used,152,Low
Corn,Patna,6107,0x75ea1722e1404c1b45449aae0154d332901bd8f164ebc2b5e84a9bfcccc6dd25,Ship,2022-09-05,2022-11-17,2023-02-03,Medium,Stunted,not_used,151,Low
Tomatoes,Varanasi,7266,0xa9f8f7ee6a9874cc98b877fea1d2f8f5dd1a68f14413f9a72bea5684f07a330d,Truck,2022-05-07,2022-06-03,2022-06-30,Low,Healthy,used,54,High
Soybeans,Srinagar,938,0x0d0b05cf5f22cc3b843a33694365050cab1a5b3efbfb79e0e811a45ae35f7b04,Truck,2020-05-07,2020-05-29,2020-06-08,High,Stunted,used,32,High
Tomatoes,Jodhpur,8558,0xa91e4249979143465ef0050d274a332f294946e3561a27df36fc263c067664d8,Air,2022-06-03,2022-07-10,2022-08-23,Medium,Infected,used,81,Medium
Potatoes,Madurai,6351,0x91bafb66f376e1bcdc8a6fd3c067ceea370b61dc7d2810b04f50a8acd790ed46,Truck,2023-03-01,2023-04-21,2023-05-23,High,Healthy,not_used,83,Medium
Corn,Nagpur,5609,0x2bf5c290663042883241cfdee97ef8920f45aa97c77d6b090c51afaecc38075c,Truck,2022-06-03,2022-06-26,2022-07-14,High,Stunted,not_used,41,High
Wheat,Visakhapatnam,5786,0xe7f8453c8f5a89b10a0507f87cb7aac43dc5ea00f4147cce2cceb4ad79f550e1,Air,2023-05-02,2023-05-28,2023-06-15,Medium,Healthy,used,44,High
Tomatoes,Indore,6365,0x194c8259c05b3879a2b2b850d5475c6132621189df81dbcfd9afe328490d7901,Truck,2022-11-01,2022-12-18,2023-01-26,High,Healthy,not_used,86,Medium
Corn,Delhi,1461,0xd8ba45684c2d2450c15ebfffebee24baed4c7151ea82ee13306ba28d036a02ec,Ship,2021-11-04,2022-01-11,2022-03-24,Medium,Infected,used,140,Low
Potatoes,Kanpur,1056,0xb278d5f9a2a7d75ac789025b9ecde75f5c7bfba7b5e4fa083e5410dc03722bca,Air,2020-11-05,2020-11-21,2020-12-13,Medium,Stunted,used,38,High
Rice,Agra,4425,0x7b014b1ec6962803ddb49746b70b64a749fbace188613811063c191041fa3cc0,Truck,2022-07-07,2022-10-05,2022-12-28,Medium,Healthy,used,174,Low
Corn,Visakhapatnam,1488,0xf338acaf73b33ef7c4474fa4a2146da1d233f982333002850ff3ef0e1387f46e,Truck,2020-01-05,2020-03-04,2020-04-08,Low,Stunted,used,94,Medium
Lettuce,Nagpur,5467,0x3d308fc3c5e4e585fed5f01f3caa303f3efe7e734fbc9c11633f82a49cef54b8,Truck,2023-03-04,2023-03-15,2023-03-26,Low,Stunted,used,22,High
Soybeans,Patna,8474,0xfd07b4b5c751b22dd7d9c982a4eb0e819df90dfa34bcea4890713bc19b495850,Air,2022-10-02,2022-10-31,2022-11-17,Low,Stunted,not_used,46,High
Rice,Thane,6444,0xbb96fcb2e106c9076a8adff61b45e5d4e96e4313f9fc465514f0bd49eaf9be54,Air,2023-02-06,2023-05-07,2023-07-30,High,Healthy,used,174,Low
Lettuce,Visakhapatnam,2538,0x1f3f913bc29dffcbaf5710d40b88c98d42286337aaa00beac8d5eae296c52669,Truck,2021-08-05,2021-08-30,2021-09-20,Low,Stunted,not_used,46,High
Rice,Chandigarh,4956,0x923090020ddabb8359b4a253a70e9a240e61dfc5c698f3484945f33159ef15b4,Truck,2022-02-02,2022-04-08,2022-06-13,High,Infected,used,131,Low
Rice,Kanpur,2462,0x0a2e82208addb258807aec063772292ef25e90169953b1126b947f6bb35502de,Air,2021-01-01,2021-02-25,2021-04-16,Medium,Stunted,not_used,105,Medium
Soybeans,Bangalore,9624,0xd9f5f2bb1e78600ef442f3b7e756f54bd20a77405b51c956ce6ba3d02caa18c2,Air,2020-05-05,2020-05-19,2020-06-16,High,Stunted,not_used,42,High
Rice,Ranchi,3851,0xe32c653c9a694f0785b2249c143b37b7da0355ba49a41d87171af14bcee9e326,Truck,2020-03-04,2020-04-10,2020-05-26,Medium,Healthy,not_used,83,Medium
Lettuce,Navi Mumbai,489,0xdd16b4bbae7ed04529b37f3c35177fcee7794621bb16e0a73fbe7ffad50f4104,Air,2023-05-01,2023-07-16,2023-09-22,Medium,Healthy,not_used,144,Low
Tomatoes,Raipur,8399,0x106d5ea72283717ad95ec1952355a1699014765b18bd4a367024141f7830a7bc,Truck,2021-09-07,2021-11-16,2022-01-21,Medium,Healthy,not_used,136,Low
Soybeans,Ahmedabad,2480,0xffad3d71e3115134bd68ab26e9f604bdeb5a722b645f87e21c9879d20cc18cbf,Truck,2022-07-05,2022-07-20,2022-08-07,Medium,Infected,used,33,High
Rice,Ludhiana,9893,0x048afcd09f6c5a89f4285734f7f8c8e02269a666b5947b6b960ca6af9a61c259,Truck,2023-05-02,2023-06-15,2023-07-25,Medium,Healthy,not_used,84,Medium
Soybeans,Vasai-Virar,9318,0xaf055b3b357a153c5a58bbae048dc2214f5ac8ae58aec4a146eee5c10fdedb80,Ship,2023-09-01,2023-09-13,2023-09-26,Medium,Healthy,not_used,25,High
Rice,Kalyan-Dombivali,8593,0x690bafc671df271ae08920af61dd1698da1bbdbb1eb31a86dffb381665c2c0c5,Air,2021-05-04,2021-06-01,2021-06-28,Low,Infected,not_used,55,High
Corn,Delhi,9755,0xaa03fc6b9699a39f83137caf89c62974ce63bc2f1247732c292c74e3ed7a80fc,Truck,2020-08-01,2020-08-19,2020-09-13,High,Infected,not_used,43,High
Rice,Ranchi,5575,0xd04a12b00b8cf7e3d6d66fce0cd467e62a55d9abf8603fd8a1ef4344c40c6cc8,Truck,2020-05-02,2020-07-31,2020-10-04,Low,Stunted,used,155,Low
Tomatoes,Bhopal,2936,0xe263a7b5356f9de5a8918e314d5476db734f0055b048b9b333d70a0250d5ce7c,Ship,2020-11-05,2020-11-24,2020-12-10,Low,Stunted,not_used,35,High
Tomatoes,Kota,7639,0xd4b9f89efff36b965115737497a558442d749394d9dd2e7ba6b7ebe86830994b,Truck,2021-09-04,2021-11-24,2022-02-02,High,Stunted,not_used,151,Low
Wheat,Agra,4546,0x1f7ae786ea30332efa8fe306a764a50aac3d5bee6171bb293de5633f783753ff,Ship,2022-06-07,2022-07-07,2022-08-05,Low,Stunted,used,59,High
Potatoes,Varanasi,9723,0xda5bd60d71c4cb05aeeb15cd800828b9fcc87c93e3a967236fbeb01696ae8b8c,Truck,2023-10-02,2023-10-14,2023-11-04,Low,Healthy,used,33,High
Lettuce,Vasai-Virar,9384,0x497937ebde8bd810fa7b66c2cc94a7bc148eeea3e80ab44bd15e35078e6e3e3c,Air,2021-04-03,2021-06-08,2021-09-05,Medium,Healthy,not_used,155,Low
Corn,Vijayawada,7218,0x2fcf85e34519c98e86970df234dc2ffa8c4ed4295631ff8b872e2851ab63b046,Ship,2020-06-05,2020-06-30,2020-07-13,Medium,Stunted,used,38,High
